Shape,A,d,tw,bf,tf,Zx
W44X335,98.5,44.0,1.03,15.9,1.77,1620.0
W44X290,85.4,43.6,0.865,15.8,1.58,1410.0
W44X262,77.2,43.3,0.785,15.8,1.42,1270.0
W44X230,67.8,42.9,0.71,15.8,1.22,1100.0
W40X655,193.0,43.6,1.97,16.9,3.54,3080.0
W40X593,174.0,43.0,1.79,16.7,3.23,2760.0
W40X503,148.0,42.1,1.54,16.4,2.76,2320.0
W40X431,127.0,41.3,1.34,16.2,2.36,1960.0
W40X397,117.0,41.0,1.22,16.1,2.2,1800.0
W40X372,110.0,40.6,1.16,16.1,2.05,1680.0
W40X362,106.0,40.6,1.12,16.0,2.01,1640.0
W40X324,95.3,40.2,1.0,15.9,1.81,1460.0
W40X297,87.3,39.8,0.93,15.8,1.65,1330.0
W40X277,81.5,39.7,0.83,15.8,1.58,1250.0
W40X249,73.5,39.4,0.75,15.8,1.42,1120.0
W40X215,63.5,39.0,0.65,15.8,1.22,964.0
W40X199,58.8,38.7,0.65,15.8,1.07,869.0
W40X392,116.0,41.6,1.42,12.4,2.52,1710.0
W40X331,97.7,40.8,1.22,12.2,2.13,1430.0
W40X327,95.9,40.8,1.18,12.1,2.13,1410.0
W40X294,86.2,40.4,1.06,12.0,1.93,1270.0
W40X278,82.3,40.2,1.03,12.0,1.81,1190.0
W40X264,77.4,40.0,0.96,11.9,1.73,1130.0
W40X235,69.1,39.7,0.83,11.9,1.58,1010.0
W40X211,62.1,39.4,0.75,11.8,1.42,906.0
W40X183,53.3,39.0,0.65,11.8,1.2,774.0
W40X167,49.3,38.6,0.65,11.8,1.03,693.0
W40X149,43.8,38.2,0.63,11.8,0.83,598.0
W36X925,272.0,43.1,3.02,18.6,4.53,4130.0
W36X853,251.0,43.1,2.52,18.2,4.53,3920.0
W36X802,236.0,42.6,2.38,18.0,4.29,3660.0
W36X723,213.0,41.8,2.17,17.8,3.9,3270.0
W36X652,192.0,41.1,1.97,17.6,3.54,2910.0
W36X529,156.0,39.8,1.61,17.2,2.91,2330.0
W36X487,143.0,39.3,1.5,17.1,2.68,2130.0
W36X441,130.0,38.9,1.36,17.0,2.44,1910.0
W36X395,116.0,38.4,1.22,16.8,2.2,1710.0
W36X361,106.0,38.0,1.12,16.7,2.01,1550.0
W36X330,96.9,37.7,1.02,16.6,1.85,1410.0
W36X302,89.0,37.3,0.945,16.7,1.68,1280.0
W36X282,82.9,37.1,0.885,16.6,1.57,1190.0
W36X262,77.2,36.9,0.84,16.6,1.44,1100.0
W36X247,72.5,36.7,0.8,16.5,1.35,1030.0
W36X231,68.2,36.5,0.76,16.5,1.26,963.0
W36X256,75.3,37.4,0.96,12.2,1.73,1040.0
W36X232,68.0,37.1,0.87,12.1,1.57,936.0
W36X210,61.9,36.7,0.83,12.2,1.36,833.0
W36X194,57.0,36.5,0.765,12.1,1.26,767.0
W36X182,53.6,36.3,0.725,12.1,1.18,718.0
W36X170,50.0,36.2,0.68,12.0,1.1,668.0
W36X160,47.0,36.0,0.65,12.0,1.02,624.0
W36X150,44.3,35.9,0.625,12.0,0.94,581.0
W36X135,39.9,35.6,0.6,12.0,0.79,509.0
W33X387,114.0,36.0,1.26,16.2,2.28,1560.0
W33X354,104.0,35.6,1.16,16.1,2.09,1420.0
W33X318,93.7,35.2,1.04,16.0,1.89,1270.0
W33X291,85.6,34.8,0.96,15.9,1.73,1160.0
W33X263,77.4,34.5,0.87,15.8,1.57,1040.0
W33X241,71.1,34.2,0.83,15.9,1.4,940.0
W33X221,65.3,33.9,0.775,15.8,1.28,857.0
W33X201,59.1,33.7,0.715,15.7,1.15,773.0
W33X169,49.5,33.8,0.67,11.5,1.22,629.0
W33X152,44.9,33.5,0.635,11.6,1.06,559.0
W33X141,41.5,33.3,0.605,11.5,0.96,514.0
W33X130,38.3,33.1,0.58,11.5,0.855,467.0
W33X118,34.7,32.9,0.55,11.5,0.74,415.0
W30X391,115.0,33.2,1.36,15.6,2.44,1450.0
W30X357,105.0,32.8,1.24,15.5,2.24,1320.0
W30X326,95.9,32.4,1.14,15.4,2.05,1190.0
W30X292,86.0,32.0,1.02,15.3,1.85,1060.0
W30X261,77.0,31.6,0.93,15.2,1.65,943.0
W30X235,69.3,31.3,0.83,15.1,1.5,847.0
W30X211,62.3,30.9,0.775,15.1,1.32,751.0
W30X191,56.1,30.7,0.71,15.0,1.19,675.0
W30X173,50.9,30.4,0.655,15.0,1.07,607.0
W30X148,43.6,30.7,0.65,10.5,1.18,500.0
W30X132,38.8,30.3,0.615,10.5,1.0,437.0
W30X124,36.5,30.2,0.585,10.5,0.93,408.0
W30X116,34.2,30.0,0.565,10.5,0.85,378.0
W30X108,31.7,29.8,0.545,10.5,0.76,346.0
W30X99,29.0,29.7,0.52,10.5,0.67,312.0
W30X90,26.3,29.5,0.47,10.4,0.61,283.0
W27X539,159.0,32.5,1.97,15.3,3.54,1890.0
W27X368,109.0,30.4,1.38,14.7,2.48,1240.0
W27X336,99.2,30.0,1.26,14.6,2.28,1130.0
W27X307,90.2,29.6,1.16,14.4,2.09,1030.0
W27X281,83.1,29.3,1.06,14.4,1.93,936.0
W27X258,76.1,29.0,0.98,14.3,1.77,852.0
W27X235,69.4,28.7,0.91,14.2,1.61,772.0
W27X217,63.9,28.4,0.83,14.1,1.5,711.0
W27X194,57.1,28.1,0.75,14.0,1.34,631.0
W27X178,52.5,27.8,0.725,14.1,1.19,570.0
W27X161,47.6,27.6,0.66,14.0,1.08,515.0
W27X146,43.2,27.4,0.605,14.0,0.975,464.0
W27X129,37.8,27.6,0.61,10.0,1.1,395.0
W27X114,33.6,27.3,0.57,10.1,0.93,343.0
W27X102,30.0,27.1,0.515,10.0,0.83,305.0
W27X94,27.6,26.9,0.49,10.0,0.745,278.0
W27X84,24.7,26.7,0.46,10.0,0.64,244.0
W24X370,109.0,28.0,1.52,13.7,2.72,1130.0
W24X335,98.3,27.5,1.38,13.5,2.48,1020.0
W24X306,89.7,27.1,1.26,13.4,2.28,922.0
W24X279,81.9,26.7,1.16,13.3,2.09,835.0
W24X250,73.5,26.3,1.04,13.2,1.89,744.0
W24X229,67.2,26.0,0.96,13.1,1.73,675.0
W24X207,60.7,25.7,0.87,13.0,1.57,606.0
W24X192,56.5,25.5,0.81,13.0,1.46,559.0
W24X176,51.7,25.2,0.75,12.9,1.34,511.0
W24X162,47.8,25.0,0.705,13.0,1.22,468.0
W24X146,43.0,24.7,0.65,12.9,1.09,418.0
W24X131,38.6,24.5,0.605,12.9,0.96,370.0
W24X117,34.4,24.3,0.55,12.8,0.85,327.0
W24X104,30.7,24.1,0.5,12.8,0.75,289.0
W24X103,30.3,24.5,0.55,9.0,0.98,280.0
W24X94,27.7,24.3,0.515,9.07,0.875,254.0
W24X84,24.7,24.1,0.47,9.02,0.77,224.0
W24X76,22.4,23.9,0.44,8.99,0.68,200.0
W24X68,20.1,23.7,0.415,8.97,0.585,177.0
W24X62,18.2,23.7,0.43,7.04,0.59,153.0
W24X55,16.2,23.6,0.395,7.01,0.505,134.0
W21X275,81.8,24.1,1.22,12.9,2.19,749.0
W21X248,73.8,23.7,1.1,12.8,1.99,671.0
W21X223,66.5,23.4,1.0,12.7,1.79,601.0
W21X201,59.3,23.0,0.91,12.6,1.63,530.0
W21X182,53.6,22.7,0.83,12.5,1.48,476.0
W21X166,48.8,22.5,0.75,12.4,1.36,432.0
W21X147,43.2,22.1,0.72,12.5,1.15,373.0
W21X132,38.8,21.8,0.65,12.4,1.04,333.0
W21X122,35.9,21.7,0.6,12.4,0.96,307.0
W21X111,32.6,21.5,0.55,12.3,0.875,279.0
W21X101,29.8,21.4,0.5,12.3,0.8,253.0
W21X93,27.3,21.6,0.58,8.42,0.93,221.0
W21X83,24.4,21.4,0.515,8.36,0.835,196.0
W21X73,21.5,21.2,0.455,8.3,0.74,172.0
W21X68,20.0,21.1,0.43,8.27,0.685,160.0
W21X62,18.3,21.0,0.4,8.24,0.615,144.0
W21X55,16.2,20.8,0.375,8.22,0.522,126.0
W21X48,14.1,20.6,0.35,8.14,0.43,107.0
W21X57,16.7,21.1,0.405,6.56,0.65,129.0
W21X50,14.7,20.8,0.38,6.53,0.535,110.0
W21X44,13.0,20.7,0.35,6.5,0.45,95.4
W18X311,91.6,22.3,1.52,12.0,2.74,754.0
W18X283,83.3,21.9,1.4,11.9,2.5,676.0
W18X258,76.0,21.5,1.28,11.8,2.3,611.0
W18X234,68.6,21.1,1.16,11.7,2.11,549.0
W18X211,62.3,20.7,1.06,11.6,1.91,490.0
W18X192,56.2,20.4,0.96,11.5,1.75,442.0
W18X175,51.4,20.0,0.89,11.4,1.59,398.0
W18X158,46.3,19.7,0.81,11.3,1.44,356.0
W18X143,42.0,19.5,0.73,11.2,1.32,322.0
W18X130,38.3,19.3,0.67,11.2,1.2,290.0
W18X119,35.1,19.0,0.655,11.3,1.06,262.0
W18X106,31.1,18.7,0.59,11.2,0.94,230.0
W18X97,28.5,18.6,0.535,11.1,0.87,211.0
W18X86,25.3,18.4,0.48,11.1,0.77,186.0
W18X76,22.3,18.2,0.425,11.0,0.68,163.0
W18X71,20.9,18.5,0.495,7.64,0.81,146.0
W18X65,19.1,18.4,0.45,7.59,0.75,133.0
W18X60,17.6,18.2,0.415,7.56,0.695,123.0
W18X55,16.2,18.1,0.39,7.53,0.63,112.0
W18X50,14.7,18.0,0.355,7.5,0.57,101.0
W18X46,13.5,18.1,0.36,6.06,0.605,90.7
W18X40,11.8,17.9,0.315,6.02,0.525,78.4
W18X35,10.3,17.7,0.3,6.0,0.425,66.5
W16X100,29.4,17.0,0.585,10.4,0.985,198.0
W16X89,26.2,16.8,0.525,10.4,0.875,175.0
W16X77,22.6,16.5,0.455,10.3,0.76,150.0
W16X67,19.6,16.3,0.395,10.2,0.665,130.0
W16X57,16.8,16.4,0.43,7.12,0.715,105.0
W16X50,14.7,16.3,0.38,7.07,0.63,92.0
W16X45,13.3,16.1,0.345,7.04,0.565,82.3
W16X40,11.8,16.0,0.305,7.0,0.505,73.0
W16X36,10.6,15.9,0.295,6.99,0.43,64.0
W16X31,9.13,15.9,0.275,5.53,0.44,54.0
W16X26,7.68,15.7,0.25,5.5,0.345,44.2
W14X873,257.0,23.6,3.94,18.8,5.51,2030.0
W14X808,238.0,22.8,3.74,18.6,5.12,1830.0
W14X730,215.0,22.4,3.07,17.9,4.91,1660.0
W14X665,196.0,21.6,2.83,17.7,4.52,1480.0
W14X605,178.0,20.9,2.6,17.4,4.16,1320.0
W14X550,162.0,20.2,2.38,17.2,3.82,1180.0
W14X500,147.0,19.6,2.19,17.0,3.5,1050.0
W14X455,134.0,19.0,2.02,16.8,3.21,936.0
W14X426,125.0,18.7,1.88,16.7,3.04,869.0
W14X398,117.0,18.3,1.77,16.6,2.85,801.0
W14X370,109.0,17.9,1.66,16.5,2.66,736.0
W14X342,101.0,17.5,1.54,16.4,2.47,672.0
W14X311,91.4,17.1,1.41,16.2,2.26,603.0
W14X283,83.3,16.7,1.29,16.1,2.07,542.0
W14X257,75.6,16.4,1.18,16.0,1.89,487.0
W14X233,68.5,16.0,1.07,15.9,1.72,436.0
W14X211,62.0,15.7,0.98,15.8,1.56,390.0
W14X193,56.8,15.5,0.89,15.7,1.44,355.0
W14X176,51.8,15.2,0.83,15.7,1.31,320.0
W14X159,46.7,15.0,0.745,15.6,1.19,287.0
W14X145,42.7,14.8,0.68,15.5,1.09,260.0
W14X132,38.8,14.7,0.645,14.7,1.03,234.0
W14X120,35.3,14.5,0.59,14.7,0.94,212.0
W14X109,32.0,14.3,0.525,14.6,0.86,192.0
W14X99,29.1,14.2,0.485,14.6,0.78,173.0
W14X90,26.5,14.0,0.44,14.5,0.71,157.0
W14X82,24.0,14.3,0.51,10.1,0.855,139.0
W14X74,21.8,14.2,0.45,10.1,0.785,126.0
W14X68,20.0,14.0,0.415,10.0,0.72,115.0
W14X61,17.9,13.9,0.375,10.0,0.645,102.0
W14X53,15.6,13.9,0.37,8.06,0.66,87.1
W14X48,14.1,13.8,0.34,8.03,0.595,78.4
W14X43,12.6,13.7,0.305,8.0,0.53,69.6
W14X38,11.2,14.1,0.31,6.77,0.515,61.5
W14X34,10.0,14.0,0.285,6.75,0.455,54.6
W14X30,8.85,13.8,0.27,6.73,0.385,47.3
W14X26,7.69,13.9,0.255,5.03,0.42,40.2
W14X22,6.49,13.7,0.23,5.0,0.335,33.2
W12X336,98.9,16.8,1.78,13.4,2.96,603.0
W12X305,89.5,16.3,1.63,13.2,2.71,537.0
W12X279,81.9,15.9,1.53,13.1,2.47,481.0
W12X252,74.1,15.4,1.4,13.0,2.25,428.0
W12X230,67.7,15.1,1.29,12.9,2.07,386.0
W12X210,61.8,14.7,1.18,12.8,1.9,348.0
W12X190,56.0,14.4,1.06,12.7,1.74,311.0
W12X170,50.0,14.0,0.96,12.6,1.56,275.0
W12X152,44.7,13.7,0.87,12.5,1.4,243.0
W12X136,39.9,13.4,0.79,12.4,1.25,214.0
W12X120,35.2,13.1,0.71,12.3,1.11,186.0
W12X106,31.2,12.9,0.61,12.2,0.99,164.0
W12X96,28.2,12.7,0.55,12.2,0.9,147.0
W12X87,25.6,12.5,0.515,12.1,0.81,132.0
W12X79,23.2,12.4,0.47,12.1,0.735,119.0
W12X72,21.1,12.3,0.43,12.0,0.67,108.0
W12X65,19.1,12.1,0.39,12.0,0.605,96.8
W12X58,17.0,12.2,0.36,10.0,0.64,86.4
W12X53,15.6,12.1,0.345,10.0,0.575,77.9
W12X50,14.6,12.2,0.37,8.08,0.64,71.9
W12X45,13.1,12.1,0.335,8.05,0.575,64.2
W12X40,11.7,11.9,0.295,8.01,0.515,57.0
W12X35,10.3,12.5,0.3,6.56,0.52,51.2
W12X30,8.79,12.3,0.26,6.52,0.44,43.1
W12X26,7.65,12.2,0.23,6.49,0.38,37.2
W12X22,6.48,12.3,0.26,4.03,0.425,29.3
W12X19,5.57,12.2,0.235,4.01,0.35,24.7
W12X16,4.71,12.0,0.22,3.99,0.265,20.1
W12X14,4.16,11.9,0.2,3.97,0.225,17.4
W10X112,32.9,11.4,0.755,10.4,1.25,147.0
W10X100,29.3,11.1,0.68,10.3,1.12,130.0
W10X88,26.0,10.8,0.605,10.3,0.99,113.0
W10X77,22.7,10.6,0.53,10.2,0.87,97.6
W10X68,19.9,10.4,0.47,10.1,0.77,85.3
W10X60,17.7,10.2,0.42,10.1,0.68,74.6
W10X54,15.8,10.1,0.37,10.0,0.615,66.6
W10X49,14.4,10.0,0.34,10.0,0.56,60.4
W10X45,13.3,10.1,0.35,8.02,0.62,54.9
W10X39,11.5,9.92,0.315,7.99,0.53,46.8
W10X33,9.71,9.73,0.29,7.96,0.435,38.8
W10X30,8.84,10.5,0.3,5.81,0.51,36.6
W10X26,7.61,10.3,0.26,5.77,0.44,31.3
W10X22,6.49,10.2,0.24,5.75,0.36,26.0
W10X19,5.62,10.2,0.25,4.02,0.395,21.6
W10X17,4.99,10.1,0.24,4.01,0.33,18.7
W10X15,4.41,9.99,0.23,4.0,0.27,16.0
W10X12,3.54,9.87,0.19,3.96,0.21,12.6
W8X67,19.7,9.0,0.57,8.28,0.935,70.1
W8X58,17.1,8.75,0.51,8.22,0.81,59.8
W8X48,14.1,8.5,0.4,8.11,0.685,49.0
W8X40,11.7,8.25,0.36,8.07,0.56,39.8
W8X35,10.3,8.12,0.31,8.02,0.495,34.7
W8X31,9.13,8.0,0.285,8.0,0.435,30.4
W8X28,8.25,8.06,0.285,6.54,0.465,27.2
W8X24,7.08,7.93,0.245,6.5,0.4,23.1
W8X21,6.16,8.28,0.25,5.27,0.4,20.4
W8X18,5.26,8.14,0.23,5.25,0.33,17.0
W8X15,4.44,8.11,0.245,4.02,0.315,13.6
W8X13,3.84,7.99,0.23,4.0,0.255,11.4
W8X10,2.96,7.89,0.17,3.94,0.205,8.87
W6X25,7.34,6.38,0.32,6.08,0.455,18.9
W6X20,5.87,6.2,0.26,6.02,0.365,14.9
W6X15,4.43,5.99,0.23,5.99,0.26,10.8
W6X16,4.74,6.28,0.26,4.03,0.405,11.7
W6X12,3.55,6.03,0.23,4.0,0.28,8.3
W6X9,2.68,5.9,0.17,3.94,0.215,6.23
W6X8.5,2.52,5.83,0.17,3.94,0.195,5.73
W5X19,5.56,5.15,0.27,5.03,0.43,11.6
W5X16,4.71,5.01,0.24,5.0,0.36,9.63
W4X13,3.83,4.16,0.28,4.06,0.345,6.28
